Protein	Organism_Name	Length	Host	Tissue_Specimen_Source	Geo_Location	Species
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	40	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	38	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	39	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	38	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	41	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	38	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	38	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	42	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	35	Homo sapiens	cervix	Mexico	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens	cervix	France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens	cervix	France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens	cervix	France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens	cervix	France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens	cervix	France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens	cervix	France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens	cervix	France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens	cervix	France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens	cervix	France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens	cervix	France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens	cervix	France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens	cervix	France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens	cervix	France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens	cervix	France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens	cervix	France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens	cervix	France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens	cervix	France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens	cervix	France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens	cervix	France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens	cervix	France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens	cervix	France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens		France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens		France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		France	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	France	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens	cervix	France	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens	cervix	France	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens	cervix	France	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens	cervix	France	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens	cervix	France	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	505	Homo sapiens	cervix	France	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens	cervix	France	Alphapapillomavirus 9
